Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Steering wheel angle(),Accelerator PedalPosition E(%),ABS Wheel Speed 1(mph),ABS Wheel Speed 2(mph),ABS Wheel Speed 3(mph),ABS Wheel Speed 4(mph),Relative Throttle Position(%),Engine Load(%),GPS Satellites,Engine RPM(rpm),GPS Accuracy(m),Break on off PCM,Clutch in out,brake master cyl pressure,Track Progress,Adjusted Track Progress
07-Dec-2014 16:57:25.097000,0.0,0.0,0.0,0.0,0.0,0.0,-0.15322891,-0.1340753,9.672575,0.00513887,-0.0234295,-0.01561966,0.86841917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07-Dec-2014 16:57:25.197000,0.0,0.0,0.0,0.0,0.0,0.0,-0.15322891,-0.17238252,9.57680702,-0.00455874,-0.01561966,-0.01757212,0.87622905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001945525291828794,0.0001945525291828794
07-Dec-2014 16:57:25.309000,0.0,0.0,0.0,0.0,0.0,0.0,-0.22984336,-0.1340753,9.61511421,-0.00062225,-0.01561966,-0.01757212,0.87622905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.01960754,0.0,759.5,0.0,0.0,0.0,0.0,0.0003891050583657588,0.0003891050583657588
07-Dec-2014 16:57:25.400000,0.0,0.0,0.0,0.0,0.0,0.0,-0.21068975,-0.17238252,9.61511421,-0.00061248,-0.0234295,-0.01366721,0.88013393,0.0,0.0,0.0,0.0,0.0,0.0,2.74509811,29.01960754,0.0,759.5,0.0,0.0,0.0,0.0,0.0005836575875486381,0.0005836575875486381
07-Dec-2014 16:57:25.498000,0.0,0.0,0.0,0.0,0.0,0.0,-0.15322891,-0.17238252,9.672575,0.00520074,-0.01561966,-0.01757212,0.88599128,0.0,20.7843132,0.0,0.0,0.0,0.0,2.74509811,29.01960754,0.0,759.5,0.0,0.0,0.0,0.0,0.0007782101167315176,0.0007782101167315176
07-Dec-2014 16:57:25.606000,0.0,0.0,0.0,0.0,0.0,0.0,-0.21068975,-0.1340753,9.672575,0.00524902,-0.01561966,-0.01757212,0.88599128,0.0,20.7843132,0.0,0.0,0.0,0.0,2.74509811,29.01960754,0.0,759.5,0.0,0.0,0.0,0.0,0.0009727626459143969,0.0009727626459143969
07-Dec-2014 16:57:25.698000,0.0,0.0,0.0,0.0,0.0,0.0,-0.19153613,-0.19153613,9.74918938,0.0131138,-0.02147704,-0.01366721,0.88599128,0.0,20.7843132,0.0,0.0,0.0,0.0,2.74509811,29.01960754,0.0,759.5,0.0,1.0,0.0,11.0,0.0011673151750972762,0.0011673151750972762
07-Dec-2014 16:57:25.795000,0.0,0.0,0.0,0.0,0.0,0.0,-0.17238252,-0.17238252,9.6534214,0.00473852,-0.01757212,-0.01757212,0.88403887,0.0,20.7843132,0.0,0.0,0.0,0.0,2.35294127,28.62745094,0.0,776.5,0.0,1.0,2.0,11.0,0.0013618677042801556,0.0013618677042801556
07-Dec-2014 16:57:25.895000,0.0,0.0,0.0,0.0,0.0,0.0,-0.19153613,-0.15322891,9.63426781,0.00133383,-0.01757212,-0.01757212,0.88403887,0.0,20.7843132,0.0,0.0,0.0,0.0,2.35294127,28.62745094,0.0,776.5,0.0,1.0,2.0,11.0,0.0015564202334630351,0.0015564202334630351
07-Dec-2014 16:57:26.004000,0.0,0.0,0.0,0.0,0.0,0.0,-0.17238252,-0.17238252,9.55765343,-0.00647736,-0.01757212,-0.01561966,0.88794374,0.0,20.7843132,0.0,0.0,0.0,0.0,2.35294127,28.62745094,0.0,776.5,0.0,1.0,2.0,11.0,0.0017509727626459145,0.0017509727626459145
07-Dec-2014 16:57:26.096000,0.0,0.0,0.0,0.0,0.0,0.0,-0.17238252,-0.21068975,9.63426781,0.0014075,-0.01757212,-0.02147704,0.8820864,0.0,20.7843132,0.0,0.0,0.0,0.0,2.35294127,28.62745094,0.0,776.5,0.0,1.0,2.0,11.0,0.0019455252918287938,0.0019455252918287938
07-Dec-2014 16:57:26.196000,0.0,0.0,0.0,0.0,0.0,0.0,-0.21068975,-0.11492168,9.61511421,0.00036494,-0.01757212,-0.02147704,0.8820864,0.0,20.7843132,0.0,0.0,0.0,0.0,2.35294127,27.45098114,0.0,772.5,0.0,1.0,2.0,11.0,0.0021400778210116734,0.0021400778210116734
07-Dec-2014 16:57:26.297000,0.0,0.0,0.0,0.0,0.0,0.0,-0.15322891,-0.19153613,9.63426781,0.00133383,-0.01757212,-0.01366721,0.88599128,0.0,20.7843132,0.0,0.0,0.0,0.0,2.35294127,27.45098114,0.0,772.5,0.0,1.0,2.0,11.0,0.0023346303501945525,0.0023346303501945525
