Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Engine Load(%),Engine Coolant Temperature(C),Engine RPM(rpm),Speed (GPS)(mph),Track Progress,Adjusted Track Progress
13-Jun-2014 14:44:50.707000,-122.150046,47.32119433333333,42.055832,0.0,99.6,287.1,3.30078125,-0.03065491,9.78834534,0.04260212,0.28790113,0.02729783,-0.02317283,42.74509811,57.64706039,87.0,4410.0,94.07621002,0.0,0.0
13-Jun-2014 14:44:50.805000,-122.15009916666666,47.3212055,42.045544,0.0,99.6,287.5,3.90896606,-0.2865448,8.55412292,-0.03000134,0.33727989,0.04586036,0.01019119,42.74509811,58.03921509,87.0,4411.0,94.05319977,0.0007849293563579278,0.0007849293563579278
13-Jun-2014 14:44:50.909000,-122.15009916666666,47.3212055,42.045544,0.0,99.6,287.5,2.59381104,0.00743103,8.80525208,-0.15243679,0.26873198,0.09014351,-0.20916206,42.74509811,58.03921509,87.0,4411.0,94.05319977,0.0015698587127158557,0.0015698587127158557
13-Jun-2014 14:44:51.022000,-122.15026266666666,47.321243833333334,42.1793,0.0,99.8,288.6,2.69259644,0.12406921,9.93711853,0.06040555,0.23997828,0.05605155,0.02535665,42.74509811,58.03921509,87.0,4412.0,94.35240173,0.002354788069073783,0.002354788069073783
13-Jun-2014 14:44:51.143000,-122.1503155,47.321256,42.230743,0.0,99.7,288.9,2.71520996,-0.11039734,11.24513245,0.19013184,0.23997828,0.05605155,0.02535665,42.35294342,58.03921509,87.0,4420.0,94.46747589,0.0031397174254317113,0.0031397174254317113
13-Jun-2014 14:44:51.208000,-122.1503155,47.321256,42.230743,0.0,99.7,288.9,1.92849731,-0.17228699,11.20347595,0.16981906,0.24228343,0.03215078,0.15869141,42.35294342,54.90196228,87.0,4420.0,94.46747589,0.003924646781789639,0.003924646781789639
13-Jun-2014 14:44:51.305000,-122.15036833333333,47.3212685,42.261612,0.0,99.7,289.1,0.74188232,-0.38414001,9.49913025,-0.01710784,0.04112874,0.00424633,-0.01929047,41.96078491,54.90196228,87.0,4420.0,94.53652954,0.004709576138147566,0.004709576138147566
13-Jun-2014 14:44:51.406000,-122.15042116666666,47.32128083333333,42.287334,0.0,99.7,289.2,0.29675293,-0.23774719,10.20967102,0.05230623,-0.00424633,0.01916914,0.05313978,41.96078491,54.90196228,87.0,4415.0,94.59407043,0.005494505494505495,0.005494505494505495
13-Jun-2014 14:44:51.519000,-122.15047383333334,47.3212935,42.33878,0.0,99.7,289.4,0.47290039,0.04670715,8.46485901,-0.12491721,-0.00424633,0.01916914,0.05313978,40.0,51.37255096,87.0,4415.0,94.70915222,0.006279434850863423,0.006279434850863423
13-Jun-2014 14:44:51.606000,-122.15052666666666,47.321306166666666,42.3645,0.0,99.7,289.6,0.77044678,-0.37937927,8.60411072,-0.10772294,0.01370958,0.04816551,-0.12472077,40.0,51.37255096,87.0,4419.0,94.76668549,0.00706436420722135,0.00706436420722135
13-Jun-2014 14:44:51.705000,-122.1505795,47.321319,42.38508,0.0,99.7,289.9,0.53955078,-0.09492493,8.93617249,-0.07652146,0.02050371,0.03372799,-0.07667658,38.03921509,50.19607925,87.0,4419.0,94.81271362,0.007849293563579277,0.007849293563579277
13-Jun-2014 14:44:51.804000,-122.15063216666667,47.321332,42.400513,0.0,99.7,290.1,0.74307251,-0.53291321,9.66456604,0.00041831,0.04125006,-0.01091913,-0.00242647,38.03921509,50.19607925,87.0,4420.0,94.84724426,0.008634222919937205,0.008634222919937205
13-Jun-2014 14:44:51.910000,-122.15069233333334,47.321349833333336,42.42109,0.0,99.6,290.3,0.47290039,-0.28178406,9.84309387,0.01578492,0.04125006,-0.01091913,-0.00242647,21.56862831,43.92156982,87.0,4420.0,94.89326477,0.009419152276295133,0.009419152276295133
13-Jun-2014 14:44:52.012000,-122.1507455,47.321363166666664,42.436523,0.0,99.9,290.5,0.04681396,-0.71144104,10.35844421,0.0692485,-0.0327574,-0.01759194,0.01868385,21.56862831,43.92156982,87.0,4407.0,94.92780304,0.01020408163265306,0.01020408163265306
13-Jun-2014 14:44:52.105000,-122.1507975,47.3213765,42.4571,0.0,99.8,290.8,0.027771,-0.77452087,10.18943787,0.05252236,-0.03166549,-0.03554785,0.05107728,14.11764717,25.49019623,87.0,4407.0,94.97382355,0.01098901098901099,0.01098901098901099
13-Jun-2014 14:44:52.204000,-122.15085,47.32139016666667,42.46739,0.0,99.8,291.0,-0.88748169,-1.39698792,9.64671326,0.0085662,-0.12496341,-0.09900014,-0.00424633,14.11764717,25.49019623,87.0,4387.0,94.99684143,0.011773940345368918,0.011773940345368918
13-Jun-2014 14:44:52.311000,-122.1509025,47.321404,42.868656,0.0,99.8,291.3,-0.95889282,-1.71000671,9.67408752,0.05416137,-0.12496341,-0.09900014,-0.00424633,14.11764717,18.4313736,87.0,4387.0,95.89445496,0.012558869701726845,0.012558869701726845
13-Jun-2014 14:44:52.410000,-122.1509555,47.321418,43.110443,0.0,99.8,291.7,-0.35546875,-3.92494202,8.7207489,-0.01363146,-0.10640088,-0.20297454,-0.00145588,14.11764717,18.4313736,87.0,4336.0,96.43531036,0.013343799058084773,0.013343799058084773
13-Jun-2014 14:44:52.504000,-122.1510085,47.3214325,43.239056,0.0,99.8,292.0,-0.39950562,-3.99873352,8.47914124,-0.0326584,-0.0752207,-0.36421373,-0.12326488,14.11764717,15.68627453,87.0,4336.0,96.72301483,0.0141287284144427,0.0141287284144427
13-Jun-2014 14:44:52.604000,-122.1510615,47.321447166666665,43.37281,0.0,99.8,292.4,-0.37213135,-5.22819519,9.51698303,0.11837393,-0.07243025,-0.48954114,-0.01747061,14.11764717,15.68627453,87.0,4230.0,97.0222168,0.014913657770800628,0.014913657770800628
13-Jun-2014 14:44:52.705000,-122.15111433333334,47.32146216666667,43.192757,0.0,99.8,292.8,-0.29119873,-5.19010925,9.86451721,0.14747649,-0.07243025,-0.48954114,-0.01747061,14.11764717,12.54901981,87.0,4230.0,96.6194458,0.015698587127158554,0.015698587127158554
13-Jun-2014 14:44:52.805000,-122.15116683333333,47.32147716666667,43.100155,0.0,99.7,293.0,-0.40664673,-5.87089539,9.93473816,0.18790156,-0.06915451,-0.48517346,0.03457725,14.11764717,12.54901981,86.0,4107.0,96.41230011,0.016483516483516484,0.016483516483516484
13-Jun-2014 14:44:52.907000,-122.15116683333333,47.32147716666667,43.100155,0.0,99.7,293.0,-0.95056152,-5.51502991,9.93473816,0.17318302,-0.13139357,-0.51878011,0.02511401,14.11764717,3.52941179,86.0,4107.0,96.41230011,0.01726844583987441,0.01726844583987441
